編號,案類,發生(現)日期,發生時段,發生(現)地點
572,住宅竊盜,1041128,10~12,台北市內湖區民權東路六段180巷55弄1~30號
573,住宅竊盜,1041128,19~21,台北市大同區鄰江里18鄰重慶北路三段236巷31~60號
574,住宅竊盜,1041129,10~12,台北市士林區義信里2鄰大東路1~30號
575,住宅竊盜,1041129,10~12,台北市松山區南京東路四段52巷1~30號
576,住宅竊盜,1041129,19~21,台北市士林區天玉里天母北路4巷1~30號
577,住宅竊盜,1041130,10~12,台北市文山區興得里興隆路三段112巷4弄1~30號
578,住宅竊盜,1041201,07~09,台北市大同區揚雅里昌吉街61巷1~30號
579,住宅竊盜,1041201,10~12,台北市大安區黎元里安居街81巷1~30號
580,住宅竊盜,1041201,22~24,台北市信義區國業里松山路540巷3弄31 ~ 60號
581,住宅竊盜,1041202,07~09,台北市中山區雙城街28巷1~30號
582,住宅竊盜,1041203,04~06,台北市內湖區民權東路六段121~150號
583,住宅竊盜,1041203,04~06,台北市北投區榮光里石牌路一段166巷61~90號
584,住宅竊盜,1041203,10~12,台北市中山區吉林路241~270號
585,住宅竊盜,1041203,10~12,台北市北投區湖山里湖底路1~30號
586,住宅竊盜,1041204,10~12,台北市大安區光信里仁愛路四段301~330號
587,住宅竊盜,1041204,10~12,台北市松山區南京東路五段361~390號
588,住宅竊盜,1041205,22~24,台北市中山區新生北路二段41巷31~60號
589,住宅竊盜,1041206,07~09,台北市士林區福順里4鄰重慶北路四段61~90號
590,住宅竊盜,1041206,16~18,台北市士林區福志里忠勇街31~60號
591,住宅竊盜,1041207,19~21,台北市松山區南京東路四段1~30號
592,住宅竊盜,1041208,07~09,台北市大安區古風里泰順街1~30號
593,住宅竊盜,1041208,16~18,台北市士林區富光里葫蘆街47巷1~30號
594,住宅竊盜,1041208,22~24,台北市文山區景仁里羅斯福路六段91~120號
595,住宅竊盜,1041209,07~09,台北市中正區林興里羅斯福路三段121~150號
596,住宅竊盜,1041209,13~15,台北市內湖區康樂街76巷1~30號
597,住宅竊盜,1041210,16~18,台北市大安區正聲里光復南路346巷1~30號
598,住宅竊盜,1041211,07~09,台北市大安區昌隆里忠孝東路三段211~240號
599,住宅竊盜,1041211,19~21,台北市大同區斯文里承德路三段91~120號
600,住宅竊盜,1041212,04~06,台北市中山區龍江路229巷1~30號
601,住宅竊盜,1041212,04~06,台北市中山區龍江路229巷1~30號
602,住宅竊盜,1041212,10~12,台北市士林區社子里社正路45巷29弄1~30號
603,住宅竊盜,1041212,10~12,台北市松山區八德路三段12巷53弄1~30號
604,住宅竊盜,1041213,22~24,台北市信義區永吉里中坡北路43巷1~30號
605,住宅竊盜,1041214,16~18,台北市大安區群賢里和平東路三段1~30號
606,住宅竊盜,1041215,07~09,台北市中山區民權東路二段113巷1弄1~30號
607,住宅竊盜,1041215,22~24,台北市大安區仁愛里敦化南路一段270巷1~30號
608,住宅竊盜,1041216,10~12,台北市松山區南京東四段1~30號
609,住宅竊盜,1041216,13~15,台北市內湖區西湖里環山路一段59巷10弄1~30號
610,住宅竊盜,1041217,13~15,台北市士林區福中里通河東街一段136巷1~30號
611,住宅竊盜,1041219,07~09,台北市中山區林森北路119巷1~30號
612,住宅竊盜,1041219,22~24,台北市士林區福順里重慶北路四段49巷15弄31~60號
613,住宅竊盜,1041219,22~24,台北市中山區吉林路271~300號
614,住宅竊盜,1041220,10~12,台北市松山區光復北路230巷31~60號
615,住宅竊盜,1041220,10~12,台北市松山區健康路391~420號
616,住宅竊盜,1041220,10~12,台北市北投區立農里立農街1段22巷2弄1 ~ 30號
617,住宅竊盜,1041220,16~18,台北市大安區黎孝里安居街46巷1~30號
618,住宅竊盜,1041220,19~21,台北市信義區松友里信義路六段76巷8弄1~30號
619,住宅竊盜,1041221,10~12,台北市中正區網溪里同安街86巷1~30號
620,住宅竊盜,1041221,19~21,台北市內湖區東湖路113巷1~30號
621,住宅竊盜,1041221,22~24,台北市內湖區星雲路15巷18弄1~30號
622,住宅竊盜,1041222,04~06,台北市信義區中興里信義路四段361~390號
623,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
624,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
625,住宅竊盜,1041222,07~09,台北市萬華區富民路91~120號
626,住宅竊盜,1041222,10~12,台北市中正區網溪里廈門街99巷1~30號
627,住宅竊盜,1041222,10~12,台北市萬華區富民路91~120號
628,住宅竊盜,1041222,10~12,台北市萬華區富民路91~120號
629,住宅竊盜,1041222,13~15,台北市大同區保安里哈密街68巷1 ~ 30號
630,住宅竊盜,1041223,01~03,台北市大同區至聖里重慶北路三段257巷1~30號
631,住宅竊盜,1041223,07~09,台北市萬華區長泰街1~30號
632,住宅竊盜,1041223,16~18,台北市士林區天母里中山北路七段219巷1~30號
633,住宅竊盜,1041223,19~21,台北市中正區網溪里廈門街99巷1~30號
634,住宅竊盜,1041224,10~12,台北市北投區立賢里尊賢街241~270號
635,住宅竊盜,1041224,13~15,台北市萬華區西園路一段241~270號
636,住宅竊盜,1041225,16~18,台北市士林區天和里中山北路七段14巷63弄1~30號
637,住宅竊盜,1041225,16~18,台北市中正區板溪里汀州路二段127巷1~30號
638,住宅竊盜,1041225,19~21,台北市內湖區康寧路一段173巷1~30號
639,住宅竊盜,1041226,10~12,台北市松山區塔悠路1~30號
640,住宅竊盜,1041226,22~24,台北市南港區九如里研究院路三段10巷1~30號
641,住宅竊盜,1041228,04~06,台北市內湖區麗山街348巷10弄1~30號
642,住宅竊盜,1041228,13~15,台北市中正區光復里漢口街一段80巷1~30號
643,住宅竊盜,1041228,16~18,台北市信義區雅祥市民大路六段1~30號
644,住宅竊盜,1041229,16~18,台北市士林區後港里14鄰承德路四段301~330號
645,住宅竊盜,1041229,22~24,台北市北投區立賢里尊賢街211~240號
646,住宅竊盜,1041230,04~06,台北市萬華區梧州街46巷10弄1~30號
647,住宅竊盜,1041230,04~06,台北市萬華區萬大路486巷1~30號
648,住宅竊盜,1041231,13~15,台北市大安區全安里5鄰和平東路三段91~120號
649,住宅竊盜,1041231,22~24,台北市文山區景興路275巷1~30號
650,住宅竊盜,1050101,01~03,台北市文山區木新里21鄰保儀路109巷1~30號
651,住宅竊盜,1050101,19~21,台北市松山區濱江街430巷1~30號
652,住宅竊盜,1050101,22~24,台北市中山區錦州街31~60號
653,住宅竊盜,1050101,22~24,台北市士林區中山北路7段14巷61 ~ 90號
654,住宅竊盜,1050101,22~24,台北市內湖區康樂街110巷16弄1 ~ 30號
655,住宅竊盜,1050102,10~12,台北市中正區龍興里三元街1 ~ 30號
656,住宅竊盜,1050102,16~18,台北市中山區松江路235巷1~30號
657,住宅竊盜,1050102,19~21,台北市中正區愛國西路1~30號
658,住宅竊盜,1050103,13~15,台北市信義區興隆里逸仙路50巷1~30號
659,住宅竊盜,1050103,16~18,台北市大安區錦華里杭州南路二段93巷1~30號
660,住宅竊盜,1050103,19~21,台北市中山區新生北路二段58巷1~30號
661,住宅竊盜,1050104,07~09,台北市內湖區康樂街136巷29弄31~60號
662,住宅竊盜,1050104,19~21,台北市大安區虎嘯里敦化南路二段151~180號
663,住宅竊盜,1050104,22~24,台北市松山區南京東路五段251巷46弄1~30號
664,住宅竊盜,1050105,13~15,台北市內湖區康寧路一段301~330號
665,住宅竊盜,1050106,01~03,台北市文山區順興里9鄰木新路二段158巷1弄1~30號
666,住宅竊盜,1050106,10~12,台北市中正區南福里寧波西街1~30號
667,住宅竊盜,1050107,13~15,台北市士林區蘭興里德行東路1~30號
668,住宅竊盜,1050107,16~18,台北市士林區蘭興里德行東路1~30號
669,住宅竊盜,1050107,19~21,台北市信義區五常里永吉路181~210號
670,住宅竊盜,1050108,22~24,台北市文山區萬隆里羅斯福路五段211~240號
671,住宅竊盜,1050109,22~24,台北市南港區鴻福里玉成街241~270號
672,住宅竊盜,1050110,04~06,台北市文山區萬盛里萬盛街91~120號
673,住宅竊盜,1050110,07~09,台北市北投區奇岩里公館路85巷2弄1~30號
674,住宅竊盜,1050110,16~18,台北市內湖區康樂街136巷30弄1~30號
675,住宅竊盜,1050110,19~21,台北市松山區南京東路五段250巷2弄1~30號
676,住宅竊盜,1050111,16~18,台北市士林區葫蘆里延平北路五段241~270號
677,住宅竊盜,1050111,16~18,台北市萬華區康定路1~30號
678,住宅竊盜,1050111,19~21,台北市士林區蘭雅里德行東路1~30號
679,住宅竊盜,1050112,07~09,台北市士林區天和里天母東路91巷1~30號
680,住宅竊盜,1050113,04~06,台北市內湖區康樂街220巷2弄1~30號
681,住宅竊盜,1050113,10~12,台北市大同區至聖里民族西路187巷1~30號
682,住宅竊盜,1050113,16~18,台北市北投區承德路七段361~390號
683,住宅竊盜,1050113,22~24,台北市南港區九如里研究院路三段10巷1~30號
684,住宅竊盜,1050114,10~12,台北市大同區雙連里重慶北路二段2巷151~180號
685,住宅竊盜,1050114,22~24,台北市中山區明水路541~570號
686,住宅竊盜,1050115,07~09,台北市南港區合成里忠孝東路六段61~90號
687,住宅竊盜,1050115,10~12,台北市文山區忠順里14鄰興隆路四段145巷83弄1~30號
688,住宅竊盜,1050116,10~12,台北市內湖區金湖路331~360號
689,住宅竊盜,1050116,16~18,台北市北投區開明里復興四路1~30號
690,住宅竊盜,1050117,13~15,台北市大安區民輝里八德路2段10巷1 ~ 30號
691,住宅竊盜,1050118,19~21,台北市內湖區金湖路1~30號
692,住宅竊盜,1050119,01~03,台北市中山區北安路630巷9弄1~30號
693,住宅竊盜,1050119,13~15,台北市大同區寧夏路121~150號
694,住宅竊盜,1050119,16~18,台北市文山區興得里興隆路三段31~60號
695,住宅竊盜,1050120,07~09,台北市萬華區莒光路271~300號
696,住宅竊盜,1050120,10~12,台北市大安區義安里敦化南路2段81巷31~60號
697,住宅竊盜,1050121,13~15,台北市士林區陽明里凱旋路61~90號
698,住宅竊盜,1050122,16~18,台北市松山區南京東路五段291巷6弄1~30號
699,住宅竊盜,1050122,22~24,台北市北投區智仁里中和街481~510號
700,住宅竊盜,1050123,07~09,台北市信義區雙和里吳興街284巷24弄61~90號
701,住宅竊盜,1050124,13~15,台北市文山區興昌里辛亥路四段101巷140弄1~30號
702,住宅竊盜,1050124,19~21,台北市中山區民生西路45巷9弄1~30號
703,住宅竊盜,1050125,07~09,台北市內湖區安康路434巷20弄1~30號
704,住宅竊盜,1050125,10~12,台北市大安區黎和里和平東路三段416巷25弄1~30號
705,住宅竊盜,1050125,10~12,台北市北投區中庸里雙全街62巷1~30號
706,住宅竊盜,1050125,10~12,台北市中正區黎明里重慶南路一段1~30號
707,住宅竊盜,1050126,07~09,台北市士林區百齡里8鄰福港街259巷1~30號
708,住宅竊盜,1050126,16~18,台北市松山區三民路96巷1~30號
709,住宅竊盜,1050127,13~15,台北市北投區立賢里實踐街5巷1~30號
710,住宅竊盜,1050128,13~15,台北市內湖區碧山里7鄰內湖路三段60巷12弄61~90號
711,住宅竊盜,1050128,19~21,台北市士林區福順里延平北路五段121~150號
712,住宅竊盜,1050129,04~06,台北市內湖區新明路380巷6弄1~30號
713,住宅竊盜,1050129,13~15,台北市北投區中央里中正街49巷31弄31~60號
714,住宅竊盜,1050129,16~18,台北市松山區南京東路五段291巷19弄31~60號
715,住宅竊盜,1050129,22~24,台北市內湖區文德路208巷6弄1~30號
716,住宅竊盜,1050130,10~12,台北市大安區黎孝里和平東路三段271~300號
717,住宅竊盜,1050130,22~24,台北市信義區忠孝東路四段481~510號
718,住宅竊盜,1050131,10~12,台北市中山區民權東路三段61~90號
719,住宅竊盜,1050131,22~24,台北市中山區林森北路107巷31~60號
720,住宅竊盜,1050201,19~21,台北市松山區南京東路五段181~210號
721,住宅竊盜,1050202,19~21,台北市南港區九如里研究院路三段10巷1~30號
722,住宅竊盜,1050203,04~06,台北市大同區玉泉里西寧北路86巷1~30號
723,住宅竊盜,1050203,07~09,台北市中山區新生北路三段87巷1~30號
724,住宅竊盜,1050203,10~12,台北市松山區南京東路五段389巷11弄1~30號
725,住宅竊盜,1050203,19~21,台北市南港區仁福里福德街373巷31~60號
726,住宅竊盜,1050204,13~15,台北市文山區萬隆里萬隆街61~90號
727,住宅竊盜,1050205,07~09,台北市中山區新生北路二段127巷31~60號
728,住宅竊盜,1050205,16~18,台北市士林區天壽里中山北路六段441巷1~30號
729,住宅竊盜,1050207,07~09,台北市中山區中山北路一段33巷1~30號
730,住宅竊盜,1050207,16~18,台北市大安區錦安里麗水街17巷1~30號
731,住宅竊盜,1050208,19~21,台北市大安區臨江里5鄰通化街123巷31~60號
732,住宅竊盜,1050209,10~12,台北市內湖區成功路二段250巷1~30號
733,住宅竊盜,1050209,22~24,台北市大安區通安里17鄰通化街170巷1~30號
734,住宅竊盜,1050210,07~09,台北市萬華區大理街160巷23弄1~30號
735,住宅竊盜,1050210,07~09,台北市松山區精忠里民生東路四段55巷1~30號
736,住宅竊盜,1050210,13~15,台北市士林區福中里12鄰通河東街一段124巷1~30號
737,住宅竊盜,1050210,19~21,台北市士林區天和里中山北路七段114巷61弄1~30號
738,住宅竊盜,1050211,10~12,台北市中山區民生東路二段147巷5弄1~30號
739,住宅竊盜,1050212,01~03,台北市士林區福林里10鄰中山北路五段280巷1~30號
740,住宅竊盜,1050212,16~18,台北市萬華區三水街61~90號
741,住宅竊盜,1050213,19~21,台北市信義區正和里光復南路421巷91~120號
742,住宅竊盜,1050214,19~21,台北市南港區東新里向陽路120巷2弄1~30號
743,住宅竊盜,1050217,01~03,台北市中正區水源里羅斯福路四段52巷16弄1~30號
744,住宅竊盜,1050217,10~12,台北市中山區吉林路199巷1~30號
745,住宅竊盜,1050217,16~18,台北市北投區吉利里石牌路一段39巷120弄1~30號
746,住宅竊盜,1050218,01~03,台北市中山區農安街1~30號
747,住宅竊盜,1050218,01~03,台北市中山區民權東路二段152巷6弄1~30號
748,住宅竊盜,1050219,13~15,台北市松山區市民大道五段121~150號
749,住宅竊盜,1050219,16~18,台北市中山區伊通街99巷15之1~30號
750,住宅竊盜,1050220,01~03,台北市士林區福順里重慶北路四段61~90號
751,住宅竊盜,1050220,07~09,台北市內湖區港富里18鄰內湖路一段737巷91~120號
752,住宅竊盜,1050220,19~21,台北市萬華區大理街159巷3弄1~30號
753,住宅竊盜,1050221,07~09,台北市萬華區萬大路277巷31~60號
754,住宅竊盜,1050222,10~12,台北市萬華區萬大路486巷37弄1~30號
755,住宅竊盜,1050223,04~06,台北市中正區愛國里9鄰延平南路258巷1~30號
756,住宅竊盜,1050223,13~15,台北市北投區福興里自強街5巷91~120號
757,住宅竊盜,1050224,13~15,台北市士林區後港里大南路391~420號
758,住宅竊盜,1050225,10~12,台北市文山區辛亥路六段31~60號
759,住宅竊盜,1050225,22~24,台北市內湖區新明路219巷2弄1~30號
760,住宅竊盜,1050226,07~09,台北市中正區文盛里羅斯福路三段316巷9弄1~30號
761,住宅竊盜,1050226,10~12,台北市大安區正聲里仁愛路四段391~420號
762,住宅竊盜,1050227,10~12,台北市萬華區中華路2段364巷1 ~ 30號
763,住宅竊盜,1050227,19~21,台北市萬華區中華路二段416巷61~90號
764,住宅竊盜,1050228,16~18,台北市中山區新生北路二段27巷1~30號
765,住宅竊盜,1050301,10~12,台北市松山區東新街54巷1~30號
766,住宅竊盜,1050302,13~15,台北市大同區市民大道一段181~210號
767,住宅竊盜,1050303,01~03,台北市士林區社新里6鄰社子街31~60號
768,住宅竊盜,1050303,07~09,台北市北投區吉慶里承德路七段164巷1~30號
769,住宅竊盜,1050304,07~09,台北市中山區民族東路31~60號
770,住宅竊盜,1050304,10~12,台北市北投區開明里復興四路8巷1~30號
771,住宅竊盜,1050305,22~24,台北市士林區天壽里16鄰天母西路31~60號
772,住宅竊盜,1050306,01~03,台北市大同區至聖里大龍街241 ~ 270號
773,住宅竊盜,1050306,10~12,台北市中山區龍江路295巷1~30號
774,住宅竊盜,1050307,16~18,台北市內湖區內湖路二段301~330號
775,住宅竊盜,1050307,22~24,台北市大安區建倫里22鄰忠孝東路四段170巷17弄1~30號
776,住宅竊盜,1050308,01~03,台北市文山區景慶里景福街242巷1~30號
777,住宅竊盜,1050308,10~12,台北市中正區南福里羅斯福路一段90巷1~30號
778,住宅竊盜,1050308,13~15,台北市內湖區新富街31~60號
779,住宅竊盜,1050310,13~15,台北市萬華區大理街31~60號
780,住宅竊盜,1050310,16~18,台北市大安區光武里24鄰復興南路一段135巷1~30號
781,住宅竊盜,1050311,01~03,台北市士林區社新里社子街112巷20弄1~30號
782,住宅竊盜,1050311,01~03,台北市士林區社新里19鄰社子街22巷65弄1~30號
783,住宅竊盜,1050312,01~03,台北市松山區寶清街1~30號
784,住宅竊盜,1050313,07~09,台北市松山區南京東路五段251巷22弄31~60號
785,住宅竊盜,1050314,16~18,台北市士林區蘭興里德行西路93巷6弄1~30號
786,住宅竊盜,1050314,16~18,台北市信義區六合里信義路五段150巷391~420號
787,住宅竊盜,1050314,19~21,台北市中山區錦州街31~60號
788,住宅竊盜,1050314,19~21,台北市中山區林森北路391~420號
789,住宅竊盜,1050314,22~24,台北市中山區市民大道三段121~150號
790,住宅竊盜,1050315,13~15,台北市中山區中山北路一段33巷31~60號
791,住宅竊盜,1050316,07~09,台北市士林區永福里莊頂路91~120號
792,住宅竊盜,1050316,19~21,台北市北投區開明里中和街278巷13樓
793,住宅竊盜,1050317,07~09,台北市中正區南福里羅斯福路二段8巷14弄1~30號
794,住宅竊盜,1050318,07~09,台北市大安區群賢里和平東路2段301 ~ 330號
795,住宅竊盜,1050318,22~24,台北市中山區林森北路391~420號
796,住宅竊盜,1050320,13~15,台北市中正區水源里汀州路三段230巷25弄1~30號
797,住宅竊盜,1050320,16~18,台北市中山區中山北路一段33巷20弄1~30號
798,住宅竊盜,1050321,10~12,台北市士林區天母里天母北路87巷2弄1~30號
799,住宅竊盜,1050321,22~24,台北市中山區中山北路二段137巷24之1~30號
800,住宅竊盜,1050322,16~18,台北市大安區建倫里安和路一段31~60號
801,住宅竊盜,1050323,01~03,台北市士林區天祿里士東路91巷1~30號
802,住宅竊盜,1050323,22~24,台北市中正區頂東里羅斯福路三段58巷1~30號
803,住宅竊盜,1050324,19~21,台北市中山區長春路91~120號
804,住宅竊盜,1050325,01~03,台北市內湖區內湖路一段411巷1~30號
805,住宅竊盜,1050328,19~21,台北市萬華區長泰街241~270號
806,住宅竊盜,1050328,22~24,台北市大安區德安里敦化南路1段331 ~ 360號
807,住宅竊盜,1050330,10~12,台北市內湖區文德路22巷16弄1~30號
808,住宅竊盜,1050330,22~24,台北市北投區中庸里大業路691 ~ 720號
809,住宅竊盜,1050331,22~24,台北市士林區臨溪里至善路二段323巷1~30號
810,住宅竊盜,1050401,16~18,台北市萬華區頂碩里7鄰大埔街1~30號
811,住宅竊盜,1050401,22~24,台北市信義區永吉里松山路151~180號
812,住宅竊盜,1050402,19~21,台北市信義區大道里中坡南路1~30號
813,住宅竊盜,1050403,13~15,台北市萬華區青年路31~60號
814,住宅竊盜,1050403,13~15,台北市萬華區青年路31~60號
815,住宅竊盜,1050403,16~18,台北市北投區榮華里富貴一路1巷1~30號
816,住宅竊盜,1050403,19~21,台北市萬華區廣州街61~90號
817,住宅竊盜,1050404,07~09,台北市北投區中央里中央南路一段102巷1~30號
818,住宅竊盜,1050404,10~12,台北市北投區石牌里明德路67巷1~30號
819,住宅竊盜,1050405,22~24,台北市大安區錦泰里7鄰杭州南路二段61巷1~30號
820,住宅竊盜,1050406,16~18,台北市大同區景星里迪化街2段61 ~ 90號
821,住宅竊盜,1050407,07~09,台北市文山區興旺里10鄰福興路4巷7弄1~30號
822,住宅竊盜,1050407,10~12,台北市中正區南門里延平南路181~210號
823,住宅竊盜,1050407,13~15,台北市大同區蓬萊里大龍街181~210號
824,住宅竊盜,1050408,13~15,台北市大同區光能里寧夏路31~60號
825,住宅竊盜,1050408,19~21,台北市南港區舊莊里合順街8巷5弄31~60號
826,住宅竊盜,1050408,19~21,台北市松山區民生東路三段112巷7弄1~30號
827,住宅竊盜,1050409,19~21,台北市萬華區新和里19鄰中華路二段416巷61~90號
828,住宅竊盜,1050410,01~03,台北市文山區華興里24鄰富山路1~30號
829,住宅竊盜,1050410,16~18,台北市松山區南京東路五段391~420號
830,住宅竊盜,1050410,22~24,台北市內湖區康寧路三段99巷10弄1~30號
831,住宅竊盜,1050411,19~21,台北市內湖區成功路三段91~120號
832,住宅竊盜,1050413,19~21,台北市士林區福華里12鄰承德路四段40巷121~150號
833,住宅竊盜,1050414,01~03,台北市中山區松江路37巷1~30號
834,住宅竊盜,1050414,01~03,台北市松山區寶清街1~30號
835,住宅竊盜,1050414,07~09,台北市文山區興業里興隆路2段181 ~ 210號
836,住宅竊盜,1050414,19~21,台北市士林區社子里中正路601~630號
837,住宅竊盜,1050415,10~12,台北市大安區古風里師大路31~60號
838,住宅竊盜,1050415,10~12,台北市大安區光信里光復南路451 ~ 480號
839,住宅竊盜,1050416,01~03,台北市士林區聖山里15鄰德行東路190巷6弄1~30號
840,住宅竊盜,1050416,07~09,台北市北投區湖山里紗帽路1~30號
841,住宅竊盜,1050416,22~24,台北市中正區永昌里汀州路一段242巷1~30號
842,住宅竊盜,1050418,22~24,台北市中正區永功里汀州路1段312巷1 ~ 30號
843,住宅竊盜,1050419,01~03,台北市中正區永昌里汀州路一段211~240號
844,住宅竊盜,1050419,19~21,台北市文山區萬盛里羅斯福路五段53巷1~30號
845,住宅竊盜,1050419,19~21,台北市大同區永樂里民樂街1~30號
846,住宅竊盜,1050419,19~21,台北市北投區永明里立農街二段202巷2弄1~30號
847,住宅竊盜,1050419,22~24,台北市內湖區內湖路一段91巷1~30號
848,住宅竊盜,1050420,19~21,台北市中正區永昌里汀州路一段242巷1~30號
849,住宅竊盜,1050421,01~03,台北市中山區民權東路二段135巷1~30號
850,住宅竊盜,1050421,16~18,台北市北投區永和里行義路140巷1~30號
851,住宅竊盜,1050423,04~06,台北市北投區文化里文化三路61~90號
852,住宅竊盜,1050424,04~06,台北市中正區頂東里晉江街124巷8弄1~30號
853,住宅竊盜,1050424,07~09,台北市南港區百福里福德街339巷5弄1 ~ 30號
854,住宅竊盜,1050424,10~12,台北市信義區六藝里永吉路180巷70弄1 ~ 30號
855,住宅竊盜,1050425,04~06,台北市中山區農安街1 ~ 30號
856,住宅竊盜,1050425,10~12,台北市大安區仁愛里大安路一段106巷1~30號
857,住宅竊盜,1050425,10~12,台北市萬華區環河南路2段271 ~ 300號
858,住宅竊盜,1050425,22~24,台北市松山區慶城街31~60號
859,住宅竊盜,1050425,22~24,台北市北投區東華里立農街2段151 ~ 180號
860,住宅竊盜,1050425,22~24,台北市北投區東華里立農街2段151 ~ 180號
861,住宅竊盜,1050426,04~06,台北市萬華區萬大路277巷31~60號
862,住宅竊盜,1050426,13~15,台北市中山區吉林路161巷1~30號
863,住宅竊盜,1050427,04~06,台北市信義區大道里忠孝東路五段790巷25弄1~30號
864,住宅竊盜,1050427,04~06,台北市中山區林森北路119巷31~60號
865,住宅竊盜,1050427,07~09,台北市內湖區行善路361~390號
866,住宅竊盜,1050427,13~15,台北市大同區玉泉里忠孝西路二段1~30號
867,住宅竊盜,1050427,16~18,台北市大安區仁愛里大安路一段96巷1~30號
868,住宅竊盜,1050427,16~18,台北市南港區重陽里向陽路258巷
869,住宅竊盜,1050429,19~21,台北市中正區永昌里中華路二段381巷1~30號
870,住宅竊盜,1050430,10~12,台北市大同區斯文里承德路三段61~90號
871,住宅竊盜,1050501,10~12,台北市大安區臥龍街151~180號
872,住宅竊盜,1050501,22~24,台北市大安區正聲里03鄰光復南路260巷31~60號
873,住宅竊盜,1050502,10~12,台北市大同區朝陽里南京西路344巷31~60號
874,住宅竊盜,1050502,13~15,台北市松山區敦化北路145巷18弄1~30號
875,住宅竊盜,1050503,19~21,台北市大安區敦煌里信義路四段265巷20弄1~30號
876,住宅竊盜,1050505,13~15,台北市大同區斯文里承德路三段61~90號
877,住宅竊盜,1050506,01~03,台北市南港區東新里興南街64巷26弄1 ~ 30號
878,住宅竊盜,1050508,07~09,台北市大同區星明里太原路175巷1~30號
879,住宅竊盜,1050508,07~09,台北市內湖區安泰街31~60號
880,住宅竊盜,1050508,19~21,台北市大安區龍圖里建國南路2段79巷1 ~ 30號
881,住宅竊盜,1050509,19~21,台北市中山區大直街52巷1~30號
882,住宅竊盜,1050509,22~24,台北市中正區永昌里詔安街234巷8弄1 ~ 30號
883,住宅竊盜,1050510,13~15,台北市士林區舊佳里11鄰前街61~90號
884,住宅竊盜,1050510,19~21,台北市萬華區萬大路71巷31~60號
885,住宅竊盜,1050511,22~24,台北市大安區光信里仁愛路四段408巷1~30號
886,住宅竊盜,1050512,01~03,台北市大安區建倫里忠孝東路4段170巷17弄1 ~ 30號
887,住宅竊盜,1050512,10~12,台北市文山區忠順里014鄰興隆路4段145巷83弄1 ~ 30號
888,住宅竊盜,1050512,16~18,台北市文山區興家里27鄰興隆路三段185巷7弄1~30號
889,住宅竊盜,1050513,07~09,台北市中山區新生北路二段61~90號
890,住宅竊盜,1050513,16~18,台北市大安區住安里信義路四段1~30號
891,住宅竊盜,1050513,16~18,台北市萬華區西園路二段241~270號
892,住宅竊盜,1050513,16~18,台北市萬華區青年路152巷1~30號
893,住宅竊盜,1050513,22~24,台北市萬華區中華路二段416巷61~90號
894,住宅竊盜,1050514,13~15,台北市士林區天和里天母東路107巷1~30號
895,住宅竊盜,1050515,01~03,台北市中正區龍光里和平西路二段1~30號
896,住宅竊盜,1050515,10~12,台北市中山區新生北路二段91~120號
897,住宅竊盜,1050515,19~21,台北市大同區鄰江里酒泉街241~270號
898,住宅竊盜,1050518,19~21,台北市萬華區康定路278巷17弄
899,住宅竊盜,1050520,01~03,台北市內湖區內溝里康樂街201巷1~30號
900,住宅竊盜,1050520,16~18,台北市萬華區寶興街80巷31~60號
901,住宅竊盜,1050521,04~06,台北市北投區開明里翠雲街26巷1~30號
902,住宅竊盜,1050521,04~06,台北市中山區民權東路二段135巷1~30號
903,住宅竊盜,1050522,07~09,台北市大同區保安里哈密街59巷38弄31~60號
904,住宅竊盜,1050522,13~15,台北市士林區福志里幸福街5巷1~30號
905,住宅竊盜,1050524,13~15,台北市內湖區港富里13鄰港墘路37巷1~30號
906,住宅竊盜,1050526,16~18,台北市北投區永和里行義路241~270號
907,住宅竊盜,1050528,22~24,台北市文山區木新里15鄰木新路二段66巷1~30號
908,住宅竊盜,1050530,10~12,台北市南港區鴻福里玉成街235巷23弄1 ~ 30號
909,住宅竊盜,1050530,13~15,台北市大安區臨江里通化街39巷50弄1~30號
910,住宅竊盜,1050531,01~03,台北市南港區東新里興南街61~90號
911,住宅竊盜,1050601,13~15,台北市北投區東華里立農街2段151~180號
912,住宅竊盜,1050601,13~15,台北市內湖區內湖路一段411巷90弄1~30號
913,住宅竊盜,1050602,13~15,台北市士林區福華里承德路四段40巷1~30號
914,住宅竊盜,1050603,13~15,台北市大安區法治里樂利路11巷1~30號
915,住宅竊盜,1050603,13~15,台北市文山區景行里21鄰景興路238巷1~30號
916,住宅竊盜,1050604,07~09,台北市中正區黎明里重慶南路1段1 ~ 30號
917,住宅竊盜,1050604,10~12,台北市松山區新中街6巷1 ~ 30號
918,住宅竊盜,1050605,07~09,台北市士林區葫東里葫東街1~30號
919,住宅竊盜,1050605,22~24,台北市信義區安康里松勇路31~60號
920,住宅竊盜,1050606,01~03,台北市大同區至聖里重慶北路三段223巷31~60號
921,住宅竊盜,1050606,04~06,台北市文山區興豐里景豐街48巷11弄1~30號
922,住宅竊盜,1050606,07~09,台北市士林區三玉里忠誠路二段76巷1~30號
923,住宅竊盜,1050606,10~12,台北市士林區延平北路五段136巷31~60號
924,住宅竊盜,1050608,13~15,台北市北投區永和里行義路17巷1 ~ 30號
